Timestamp,Date,Time,ForefeetPressure,FrontAngle,SideAngle,UpAngle,Cadence,Speed,Lat,Lon
1458174907.244876,16.03.16,17:35:07.245,0,0,0,0, 0, 0, 0, 0
1458174907.284539,16.03.16,17:35:07.285,0,0,0,0, 0, 0, 0, 0
1458174907.294036,16.03.16,17:35:07.294,0,0,0,0, 0, 0, 0, 0
1458174907.301077,16.03.16,17:35:07.301,0,0,0,0, 0, 0, 0, 0
1458174907.342057,16.03.16,17:35:07.342,0,0,0,0, 0, 0, 0, 0
1458174907.459814,16.03.16,17:35:07.460,0,0,0,0, 0, 0, 0, 0
1458174907.548992,16.03.16,17:35:07.549,0,0,0,0, 0, 0, 0, 0
1458174907.634467,16.03.16,17:35:07.634,0,0,0,0, 0, 0, 0, 0
1458174907.754825,16.03.16,17:35:07.755,0,0,0,0, 0, 0, 0, 0
1458174907.845287,16.03.16,17:35:07.845,0,0,0,0, 0, 0, 0, 0
1458174907.935690,16.03.16,17:35:07.936,0,0,0,0, 0, 0, 0, 0
1458174908.055631,16.03.16,17:35:08.056,0,0,0,0, 0, 0, 0, 0
1458174908.147475,16.03.16,17:35:08.147,0,0,0,0, 0, 0, 0, 0
1458174908.251820,16.03.16,17:35:08.252,0,0,0,0, 0, 0, 0, 0
1458174908.356632,16.03.16,17:35:08.357,0,0,0,0, 0, 0, 0, 0
1458174908.444981,16.03.16,17:35:08.445,0,0,0,0, 0, 0, 0, 0
1458174908.545648,16.03.16,17:35:08.546,0,0,0,0, 0, 0, 0, 0
1458174908.654832,16.03.16,17:35:08.655,0,0,0,0, 0, 0, 0, 0
1458174908.749188,16.03.16,17:35:08.749,0,0,0,0, 0, 0, 0, 0
1458174908.834887,16.03.16,17:35:08.835,0,0,0,0, 0, 0, 0, 0
1458174908.954747,16.03.16,17:35:08.955,0,0,0,0, 0, 0, 0, 0
1458174909.045870,16.03.16,17:35:09.046,0,0,0,0, 0, 0, 0, 0
1458174909.136052,16.03.16,17:35:09.136,0,0,0,0, 0, 0, 0, 0
1458174909.256426,16.03.16,17:35:09.256,0,0,0,0, 0, 0, 0, 0
1458174909.345396,16.03.16,17:35:09.345,0,0,0,0, 0, 0, 0, 0
1458174909.436379,16.03.16,17:35:09.436,0,0,0,0, 0, 0, 0, 0
1458174909.556265,16.03.16,17:35:09.556,0,0,0,0, 0, 0, 0, 0
1458174909.645337,16.03.16,17:35:09.645,0,0,0,0, 0, 0, 0, 0
1458174909.736694,16.03.16,17:35:09.737,0,0,0,0, 0, 0, 0, 0
1458174909.856712,16.03.16,17:35:09.857,0,0,0,0, 0, 0, 0, 0
1458174909.946203,16.03.16,17:35:09.946,0,0,0,0, 0, 0, 0, 0
1458174910.035218,16.03.16,17:35:10.035,0,0,0,0, 0, 0, 0, 0
1458174910.156654,16.03.16,17:35:10.157,0,0,0,0, 0, 0, 0, 0
1458174910.245715,16.03.16,17:35:10.246,0,0,0,0, 0, 0, 0, 0
1458174910.334857,16.03.16,17:35:10.335,0,0,0,0, 0, 0, 0, 0
1458174910.456833,16.03.16,17:35:10.457,0,0,0,0, 0, 0, 0, 0
1458174910.546407,16.03.16,17:35:10.546,0,0,0,0, 0, 0, 0, 0
